,Submitted Date,Year,Make,Model,County,ZIP,EV Type,Transaction Type,Reduction_CO2,Reduction_Petroleum,Rebate Amount (USD)
791,09/10/2018,2018,Chevrolet,Bolt,Columbia,12534,BEV,Lease,3.07,592.89,2000
792,12/20/2018,2018,Chevrolet,Bolt,Saratoga,12866,BEV,Lease,3.07,592.89,2000
793,02/16/2019,2019,Chevrolet,Bolt,Westchester,10705,BEV,Lease,3.07,592.89,2000
794,10/04/2019,2019,Chevrolet,Bolt,Niagara,14094,BEV,Purchase,3.07,592.89,2000
795,08/14/2017,2017,Chevrolet,Bolt,Rockland,10984,BEV,Purchase,3.07,592.89,2000
796,06/09/2017,2017,Chevrolet,Bolt,Ulster,12589,BEV,Lease,3.07,592.89,2000
797,04/10/2017,2017,Chevrolet,Bolt,Sullivan,12737,BEV,Purchase,3.07,592.89,2000
798,04/25/2017,2017,Chevrolet,Bolt,Nassau,11570,BEV,Lease,3.07,592.89,2000
799,10/04/2017,2017,Chevrolet,Bolt,Ontario,14564,BEV,Lease,3.07,592.89,2000
800,11/20/2017,2017,Chevrolet,Bolt,Suffolk,11747,BEV,Lease,3.07,592.89,2000
801,06/09/2017,2017,Chevrolet,Bolt,Erie,14201,BEV,Purchase,3.07,592.89,2000
802,09/26/2017,2017,Chevrolet,Bolt,Cattaraugus,14706,BEV,Lease,3.07,592.89,2000
803,05/23/2017,2017,Chevrolet,Bolt,Schenectady,12309,BEV,Lease,3.07,592.89,2000
804,01/11/2018,2018,Chevrolet,Bolt,Allegany,14806,BEV,Purchase,3.07,592.89,2000
805,07/10/2017,2017,Chevrolet,Bolt,Chenango,13733,BEV,Purchase,3.07,592.89,2000
806,08/07/2017,2017,Chevrolet,Bolt,Livingston,14485,BEV,Lease,3.07,592.89,2000
807,09/28/2017,2017,Chevrolet,Bolt,Westchester,10533,BEV,Purchase,3.07,592.89,2000
808,12/05/2017,2017,Chevrolet,Bolt,Monroe,14580,BEV,Lease,3.07,592.89,2000
809,09/10/2018,2018,Chevrolet,Bolt,Suffolk,11731,BEV,Purchase,3.07,592.89,2000
810,08/14/2017,2017,Chevrolet,Bolt,Yates,14527,BEV,Lease,3.07,592.89,2000
811,10/17/2017,2017,Chevrolet,Bolt,Monroe,14450,BEV,Purchase,3.07,592.89,2000
812,01/23/2018,2018,Chevrolet,Bolt,Westchester,10562,BEV,Lease,3.07,592.89,2000
813,07/11/2017,2017,Chevrolet,Bolt,Albany,12204,BEV,Purchase,3.07,592.89,2000
814,01/19/2018,2018,Chevrolet,Bolt,Monroe,14626,BEV,Lease,3.07,592.89,2000
815,01/05/2018,2018,Chevrolet,Bolt,Monroe,14610,BEV,Lease,3.07,592.89,2000
816,08/07/2017,2017,Chevrolet,Bolt,Nassau,11560,BEV,Lease,3.07,592.89,2000
817,02/05/2018,2018,Chevrolet,Bolt,Dutchess,12546,BEV,Purchase,3.07,592.89,2000
818,01/15/2018,2018,Chevrolet,Bolt,Ontario,14564,BEV,Lease,3.07,592.89,2000
819,09/06/2017,2017,Chevrolet,Bolt,Erie,14221,BEV,Lease,3.07,592.89,2000
820,08/18/2017,2017,Chevrolet,Bolt,Erie,14086,BEV,Lease,3.07,592.89,2000
821,08/25/2017,2017,Chevrolet,Bolt,Otsego,13820,BEV,Lease,3.07,592.89,2000
822,11/08/2017,2017,Chevrolet,Bolt,Albany,12077,BEV,Lease,3.07,592.89,2000
823,09/22/2017,2017,Chevrolet,Bolt,Saratoga,12833,BEV,Lease,3.07,592.89,2000
824,11/22/2017,2017,Chevrolet,Bolt,Niagara,14304,BEV,Lease,3.07,592.89,2000
825,12/02/2017,2017,Chevrolet,Bolt,Seneca,14521,BEV,Purchase,3.07,592.89,2000
826,12/06/2017,2017,Chevrolet,Bolt,Dutchess,12508,BEV,Lease,3.07,592.89,2000
827,01/17/2018,2018,Chevrolet,Bolt,Albany,12009,BEV,Purchase,3.07,592.89,2000
828,11/28/2017,2017,Chevrolet,Bolt,Otsego,13326,BEV,Purchase,3.07,592.89,2000
829,02/08/2018,2018,Chevrolet,Bolt,Tompkins,14850,BEV,Purchase,3.07,592.89,2000
830,01/06/2018,2018,Chevrolet,Bolt,Albany,12054,BEV,Purchase,3.07,592.89,2000
831,11/13/2017,2017,Chevrolet,Bolt,Ulster,12561,BEV,Lease,3.07,592.89,2000
832,12/14/2017,2017,Chevrolet,Bolt,Dutchess,12546,BEV,Purchase,3.07,592.89,2000
833,02/09/2018,2018,Chevrolet,Bolt,Erie,14226,BEV,Lease,3.07,592.89,2000
